Blood Money: Why the Powerful Turn a Blind Eye While China Kills Americans
                                                                  Title                                         Author       Pub-Date   Price
Hardcover Nonfiction                                                                                                                         
57                    A Court of Thorns and Roses (A Court of Thorns...                               by Sarah J. Maas   (06/02/2020)  $15.99
58                                                   A Novel Love Story                               by Ashley Poston   (06/25/2024)  $19.00
59                                               The Housemaid's Secret                             by Freida McFadden   (07/11/2023)  $12.99
60                                                          Not in Love                               by Ali Hazelwood   (06/11/2024)  $17.10
61                                                  Just for the Summer                                by Abby Jimenez   (04/02/2024)  $17.99
62                    A Court of Mist and Fury (A Court of Thorns an...                               by Sarah J. Maas   (06/02/2020)  $16.99
63                                                      It Ends with Us                              by Colleen Hoover   (08/02/2016)  $12.99
64                                                          Happy Place                                 by Emily Henry   (03/05/2024)  $17.10
65                                        This Summer Will Be Different                              by Carley Fortune   (05/07/2024)  $17.10
66                                     Twisted Love (Twisted Series #1)                                   by Ana Huang   (09/27/2022)  $17.99
67                    A Court of Wings and Ruin (A Court of Thorns a...                               by Sarah J. Maas   (06/02/2020)  $16.99
68                                                           The Inmate                             by Freida McFadden   (03/05/2024)  $16.19
69                                           It Starts with Us: A Novel                              by Colleen Hoover   (10/18/2022)  $17.99
70                                                   The Women: A Novel                              by Kristin Hannah   (02/06/2024)  $23.09
71                                Dune: Book One in the Dune Chronicles                               by Frank Herbert   (05/29/2007)  $36.89
72                                                       First Lie Wins                               by Ashley Elston   (01/02/2024)  $20.25
73                                                           Iron Flame                              by Rebecca Yarros   (11/07/2023)  $31.49
74                                                          Fourth Wing                              by Rebecca Yarros   (05/02/2023)  $26.99
75                                                          The Teacher                             by Freida McFadden   (02/06/2024)  $31.49
76                    A Court of Silver Flames (A Court of Thorns an...                               by Sarah J. Maas   (02/16/2021)  $32.54
77                    The Heaven & Earth Grocery Store (2023 B&N Boo...                               by James McBride   (08/08/2023)  $22.50
78                                               The Three-Body Problem                                   by Cixin Liu   (11/11/2014)  $24.02
79                                          Listen for the Lie: A Novel                                 by Amy Tintera   (03/05/2024)  $24.29
80                                                  The Hunter: A Novel                                 by Tana French   (03/05/2024)  $22.50
81                                          Remarkably Bright Creatures                             by Shelby Van Pelt   (05/03/2022)  $25.19
82                                                 None of This Is True                                 by Lisa Jewell   (08/08/2023)  $22.09
83                                                 I'm Glad My Mom Died                            by Jennette McCurdy   (08/09/2022)  $17.99
84                            Outlive: The Science and Art of Longevity                by Peter Attia MD, Bill Gifford   (03/28/2023)  $22.50
85                          Bad Therapy: Why the Kids Aren't Growing Up                              by Abigail Shrier   (02/27/2024)  $20.00
86                                         Burn Book: A Tech Love Story                                by Kara Swisher   (02/27/2024)  $23.99
87                               The House of Hidden Meanings: A Memoir                                      by RuPaul   (03/05/2024)  $21.99
88                    The Body Keeps the Score: Brain, Mind, and Bod...                    by Bessel van der Kolk M.D.   (02/16/2021)  $23.00
89                                                          Greenlights                         by Matthew McConaughey   (10/20/2020)  $19.00
90                    The Anxious Generation: How the Great Rewiring...                              by Jonathan Haidt   (03/26/2024)  $20.25
91                                Sapiens: A Brief History of Humankind                           by Yuval Noah Harari   (08/15/2017)  $31.99
92                                                            Elon Musk                             by Walter Isaacson   (09/12/2023)  $31.49
93                                                      The Woman in Me                              by Britney Spears   (10/24/2023)  $22.49
94                    Extreme Ownership: How U.S. Navy SEALs Lead an...                   by Jocko Willink, Leif Babin   (10/20/2015)  $18.39
95                                                          Greenlights                         by Matthew McConaughey   (10/20/2020)  $19.00
96                                                                Spare            by Prince Harry, The Duke of Sussex   (01/10/2023)  $29.88
97                    Blood Money: Why the Powerful Turn a Blind Eye...                             by Peter Schweizer   (02/27/2024)  $22.49Blood Money: Why the Powerful Turn a Blind Eye While China Kills Americans
                                                                  Title                                         Author       Pub-Date   Price
Paperback Nonfiction                                                                                                                         
0                     Friends, Lovers, and the Big Terrible Thing: A...                               by Matthew Perry   (06/25/2024)  $17.09
1                     The Body Keeps the Score: Brain, Mind, and Bod...                    by Bessel van der Kolk M.D.   (09/08/2015)  $16.99
2                                          Everything I Know about Love                              by Dolly Alderton   (02/09/2021)  $16.99
3                     Killers of the Flower Moon: The Osage Murders ...                                 by David Grann   (04/03/2018)  $14.49
4                     Braiding Sweetgrass: Indigenous Wisdom, Scient...                         by Robin Wall Kimmerer   (08/11/2015)  $15.99
5                     Chaos: Charles Manson, the CIA, and the Secret...         by Tom O'Neill, Dan Piepenbring (With)   (06/23/2020)  $22.99
6                     The Boys in the Boat: Nine Americans and Their...                          by Daniel James Brown   (05/27/2014)  $16.99
7                     The Art Thief: A True Story of Love, Crime, an...                              by Michael Finkel   (06/25/2024)  $18.00
8                     Think Again: The Power of Knowing What You Don...                                  by Adam Grant   (12/26/2023)  $20.00
9                     Born a Crime: Stories from a South African Chi...                                 by Trevor Noah   (02/12/2019)  $15.99
10                                       Outliers: The Story of Success                           by Malcolm  Gladwell   (06/07/2011)  $17.99
11                                                     The Glass Castle                             by Jeannette Walls   (01/17/2006)  $16.98
12                                                   Educated: A Memoir                               by Tara Westover   (02/08/2022)  $17.09
13                    The Hundred Years' War on Palestine: A History...                              by Rashid Khalidi   (01/26/2021)  $19.99
14                    The Devil in the White City: Murder, Magic, an...                                 by Erik Larson   (02/10/2004)  $16.99
15                                                   The Women: A Novel                              by Kristin Hannah   (02/06/2024)  $21.00
16                                                            Swan Song                            by Elin Hilderbrand   (06/11/2024)  $21.00
17                                           All the Colors of the Dark                              by Chris Whitaker   (06/25/2024)  $30.00
18                                                             Eruption           by Michael Crichton, James Patterson   (06/03/2024)  $22.40
19                                                Resurrection: A Novel                              by Danielle Steel   (06/25/2024)  $20.30
20                                               Camino Ghosts: A Novel                                by John Grisham   (05/28/2024)  $20.96
21                                          You Like It Darker: Stories                                by Stephen King   (05/21/2024)  $21.00
22                                                          Funny Story                                 by Emily Henry   (04/23/2024)  $24.65
23                                          The Midnight Feast: A Novel                                  by Lucy Foley   (06/18/2024)  $30.00
24                                                          Fourth Wing                              by Rebecca Yarros   (05/02/2023)  $29.99
25                                                           Iron Flame                              by Rebecca Yarros   (11/07/2023)  $29.99
26                                         Middle of the Night: A Novel                                 by Riley Sager   (06/18/2024)  $30.00
27                           Red Sky Mourning (Terminal List Series #7)                                   by Jack Carr   (06/18/2024)  $20.99
28                                                    Sandwich: A Novel                            by Catherine Newman   (06/18/2024)  $26.99
29                                                       James: A Novel                            by Percival Everett   (03/19/2024)  $25.20
30                    Democracy or Else: How to Save America in 10 E...       by Jon Favreau, Jon Lovett, Tommy Vietor   (06/25/2024)  $25.20
31                    Atomic Habits: An Easy & Proven Way to Build G...                                 by James Clear   (10/16/2018)  $22.99
32                                    World Travel: An Irreverent Guide           by Anthony Bourdain, Laurie Woolever   (05/28/2024)  $22.00
33                    The New Menopause: Navigating Your Path Throug...                        by Mary Claire Haver MD   (04/30/2024)  $25.20
34                    Good Energy: The Surprising Connection Between...       by Casey Means MD, Calley Means (Editor)   (05/14/2024)  $28.80
35                                     The Creative Act: A Way of Being                                  by Rick Rubin   (01/17/2023)  $32.00
36                    Practicing the Way: Be with Jesus. Become like...                             by John Mark Comer   (01/16/2024)  $23.40
37                    Make Your Bed: Little Things That Can Change Y...                          by William H. McRaven   (04/04/2017)  $15.99
38                                 The Official Stardew Valley Cookbook                    by ConcernedApe, Ryan Novak   (05/14/2024)  $25.20
